"V1","V2"
"1",38.5559620823808,2.74769978947312
"2",114.632306526227,1.9999991981624
"3",112.063449849433,1.00000017768878
"4",283.219664715276,1.85552077787228
"5",96.3139993308731,5.0466079602542
"6",68.4896898824993,5.94290438538847
"7",147.827151561093,3.00000581204077
"8",216.211168348763,3.05268344288051
"9",339.241674744239,3.76646690482613
"10",179.177725456261,3.99997524693727
"11",103.953492968461,4.99998289967379
"12",167.503220930325,5.72694457411317
"13",308.515027735361,6.28726682947896
"14",959.119984669563,5.00000165453535
