"GREY","BLUE","WHITE","GREEN","BROWN","RED","BLACK","CLEAR","ORANGE","YELLOW","Twisted.3.Single","Twisted.5.Single","Twisted.4.Single","Braided.Single","Twisted.3.Double","Mono.Single","Twisted.13.Single","Twisted.2.Single","Twisted.2.Double","Twisted.5.Double","Twisted.4.Double"
"1",0.0248868357248085,0.0514345751685898,0.0250787973495796,0.238565831649531,3.33047215651264e-07,0.0124534712171584,0.58530619941653,0.062273303662266,1.9449137349422e-08,6.333151844509e-07,0.0122770608014315,0.0123740822429656,0.0125527882816655,0.675945765238311,2.77683727945912e-108,0.0747779499427586,0,0.137218476542056,0.0499473088102691,0.012453613812765,0.0124529543277774
"2",0.0517569683234573,0.536033802841455,0.0907927471601851,0.309272172894741,0.00549386111740601,0.0023132056653972,0.00173490239610857,0,0.000578301372841229,0.00202403822840763,0.794449167240724,0.0453785018692035,0.00722678400945427,0.012652462884625,0.133072044977144,0.00346937266251403,0,0.00259816802905449,0.0011534983272808,0,0
"3",0.1211730322322,0.13254711702648,0.141127738266579,0.600165765583251,0,0,0.0021355949444877,0.00285075194700261,0,0,0.933744773568667,6.5494411722907e-31,3.91180344680303e-21,0.00210996411131808,0.0121173118932687,0.0356356148196062,0.00285100470270708,0.0135413309044331,0,0,0
"4",0,0.0714662143321439,0.85759426935339,0.0709395163144665,0,0,0,0,0,0,0.0709395163144665,0,0,0,0.85759426935339,0,0.0714662143321439,0,0,0,0
"5",0.578426531411206,0.0217804033797821,0.26128664074285,0.0514084990509186,1.44253717690733e-61,7.67840297802846e-41,5.27068148166327e-13,0.0870974658179053,3.61984510054874e-21,4.59596811345598e-07,0.0694889108777333,8.4270309136677e-244,0.560354738081937,4.50013642161868e-277,1.10850743992048e-111,0.326634169848842,0.0217481849805358,5.34487936699067e-309,0,0.0217739962109516,0
"6",0.0681896407533928,0.0513976283056221,0.000638841557147588,0.861706977636051,2.77663186829541e-20,0.0180601524413161,2.31985951866071e-11,0,6.37285398051044e-06,3.86429290907845e-07,0.92957187022855,0.0156284153915178,0.000594006563654522,1.85024364825397e-160,6.67352632473375e-189,0,0.0542057078162781,0,2.62136166266357e-114,0,0
"7",0.0720753460732536,0.307032081297506,0.155687521310786,0.451269686425181,0.000480530637507356,0.00768853194684824,0.00144158976287708,0,0.000961062821476612,0.00336364972456415,0.80205329888435,0.121554450837404,0.0244946599204052,0,0.0518975903578403,0,0,0,0,0,0
"8",1.16767842617785e-141,1,2.17026006881312e-128,4.09976721148803e-122,0,0,1.05353019015042e-128,0,0,2.40565271957352e-130,4.13410955490983e-122,3.89173275900046e-185,5.69297803496801e-205,0.894681013151035,0,0,0,0.0526594934244827,0.0526594934244827,0,0
"9",0.0634926264484231,0.848114556578023,0.0306131052372083,0.0577702926130848,6.71188104265079e-26,1.30884911008494e-26,8.78456749442351e-06,6.29546367730652e-182,3.78469972890579e-23,6.34555766324048e-07,8.08620782737059e-18,0.468119968774532,0.104701211354499,0.373829443291929,0,2.00455278341262e-181,0,0,0,0,0.0533493765790401
"10",0.0455633083401167,0.364833664293228,0.107073871359182,0.46567487215418,0,0.00297431627770893,0.00396575688499248,0,0.000991440734512901,0.00892276995607937,0.612399729552079,0.32319952535352,0.0524959236073354,0,0.0119048214870658,0,0,2.33522409029476e-172,0,0,0
"11",0.125348194731515,0.121572132424497,0.0289292714259462,0.720072281491494,0,0,0,0,0.00289217596792484,0.00118594395862307,0.787791647410767,0.0984054545468279,0.0848763836775151,0.00578629668578316,0.0173590742609577,0,0,0.00288796078137296,0.00289318263677637,0,0
"12",6.33197336222018e-07,0.133422909423862,0.0300347949815757,0.83654166239706,3.50742068541016e-117,1.3043540120633e-119,5.83404356207462e-33,0,1.19056005373012e-30,1.65841685654255e-13,0.822215491474703,1.86024158451636e-284,3.30944429305649e-189,0,0,0,0,0.133337984406077,0.0444465241192204,0,0
"13",0.216253909864398,0.162255412547167,0.0505830250220422,0.535598387183047,1.68839062636534e-09,1.21053972944803e-07,0.00986158210094579,4.39210553092031e-07,1.37339184585735e-07,0.0254469839903001,0.58231267702012,0.075594176525118,0.265694077231342,0,0.0469167481477747,0.0294823210756446,0,0,0,0,0
"14",0.0588016575949092,0.0588249477521039,6.2630940964307e-170,0.882373394652987,0,0,0,0,8.41034204670752e-206,4.48595474243131e-80,1,0,0,0,0,0,0,0,0,0,0
